px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0	1.29445e-321
0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0	1.39069e-309
1.55945	-0.138501	0	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	1.29445e-321
1.59584	0.321942	2.12229	0	0	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	5.38541
3.8837	-0.130221	3.59357	-0.303935	-0.0919186	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.458509
4.20898	0.0726139	3.35382	-0.187459	-0.0717528	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	3.14591
7.30623	-0.341098	4.31331	0.0999063	0.188679	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0.462133
6.29627	0.379667	4.00107	0.491317	0.461496	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0.776164
8.94059	2.04076	3.45447	0.749052	0.283912	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.555567
8.86805	0.87041	2.32443	0	0	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	6.02195
11.5667	1.65951	4.12637	0.623416	0.188539	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.84552
11.4483	1.62792	3.3298	0.670245	0.273538	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.665497
13.5894	2.31829	2.52106	0.217802	-0.218125	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.453643
13.5742	2.27586	2.71515	0.167601	-0.246768	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.54185
16.6387	2.89918	4.25733	0.176882	-0.0837509	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0.405595
16.3329	2.89138	3.10577	0.222988	-0.0535044	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.800709
19.0087	3.70295	3.60196	0.326672	0.0452263	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.0619373
19.316	3.77268	2.81271	0.362497	0.0888023	19.363	3.87122	18.923	3.74161	2.61382	0.95648	0.596494
21.3313	4.73206	2.80618	0.451847	0.0891537	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	6.03627e-06
21.5542	4.78829	3.04563	0.445992	0.074351	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.221526
24.0747	5.57262	3.45398	0.199351	-0.127798	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.142411
24.5196	5.71186	3.31765	0.193768	-0.133572	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	0.640537
26.6093	6.95418	2.76076	0.599288	0.208873	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.37319
26.5452	6.94214	3.24086	0.566147	0.165109	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.116273
29.578	8.09075	4.21951	0.228604	-0.159431	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.465204
29.5289	8.06664	3.42302	0.20636	-0.193029	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.796422
31.9441	9.86964	3.31643	0.826837	0.323915	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.745662
31.7363	9.83447	3.34782	0.816981	0.306593	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.232123
34.6056	10.709	2.65536	0.144356	-0.331856	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.37526
34.9706	10.9574	3.13165	0.139401	-0.291344	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	0.862818
37.1431	12.0794	2.72304	0.498525	0.114791	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.514541
37.4805	12.1132	3.18959	0.461513	0.0724132	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	0.459081
40.3233	13.4662	4.16354	0.405991	-0.00875828	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.15081
40.049	13.3642	3.30483	0.408769	0.0124467	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0.736039
42.7639	14.8272	3.96841	0.507597	0.0669614	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.0701564
42.656	14.7966	3.44179	0.517435	0.093306	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.190016
45.3534	16.551	4.25003	0.573544	0.0689058	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.0892946
45.563	16.6381	3.53744	0.60025	0.138527	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.5127
48.1517	17.29	2.99498	0.159891	-0.228177	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.406592
48.0557	17.2467	2.97343	0.160588	-0.228575	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.06488
