px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.53923	-5.09535	-2.60982	2.37466	0.647728	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.58522
7.596	-5.26021	-2.63949	2.34878	0.583944	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	3.52888
7.68821	-5.37846	-2.62053	2.36566	0.567716	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.833028
7.75415	-5.52883	-2.64085	2.34843	0.517811	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	1.89523
7.83143	-5.6352	-2.53389	2.3604	0.500457	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.05055
7.8803	-5.79469	-2.55282	2.32586	0.437332	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	2.84954
8.00521	-5.94256	-3.10039	2.33944	0.432314	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	6.90569
8.07131	-6.10729	-3.1203	2.30862	0.379029	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	1.9488
8.15908	-6.22754	-2.86098	2.31472	0.361701	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	2.15152
8.23644	-6.37681	-2.87227	2.30063	0.327376	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.749147
8.31347	-6.48656	-2.70166	2.30605	0.31386	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.14514
8.36927	-6.64456	-2.71568	2.27516	0.265796	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	1.51621
8.45629	-6.76367	-2.73287	2.2816	0.257897	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.454053
8.52541	-6.90419	-2.73697	2.26675	0.229185	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.587639
8.59637	-7.00691	-2.66982	2.26968	0.22042	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.527366
8.64554	-7.1502	-2.68599	2.24074	0.180928	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	1.13884
